bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14,bus15,bus16,bus17,bus18,bus19,bus20,bus21,bus22,bus23,bus24,bus25,bus26,bus27,bus28,bus29,bus30,bus31,bus32,bus33
553,766,517,326,361,67,769,93,17,483,395,287,396,712,422,275,537,915,533,96,193,9,202,710,283,546,784,551,126,470,29,442,851
526,197,189,164,905,337,761,367,584,364,259,873,617,348,857,767,512,556,916,250,241,572,420,673,848,895,170,945,512,821,479,971,169
712,601,636,307,640,686,870,275,892,769,458,363,291,853,155,17,801,420,644,469,369,142,853,366,400,476,382,599,598,1,761,928,213
527,571,363,457,423,304,529,816,69,197,57,430,603,809,397,132,849,269,587,944,727,198,81,929,904,628,962,988,933,248,76,107,320
895,428,651,441,981,523,224,718,344,92,598,485,163,683,984,114,363,234,980,980,411,435,884,876,980,989,862,332,365,510,217,762,917
421,158,404,281,882,943,813,211,310,696,941,166,724,946,823,282,992,174,747,599,995,343,847,227,330,776,898,611,171,676,536,963,923
25,447,494,548,432,708,248,228,332,478,258,980,244,979,194,162,933,878,73,948,73,805,906,367,719,659,789,381,872,258,937,46,767
324,793,32,481,465,669,142,803,519,88,116,604,943,203,110,924,807,684,350,739,205,583,1000,268,48,49,827,209,611,61,745,175,361
829,977,871,582,906,302,662,858,800,954,846,78,876,119,453,403,390,430,66,492,794,559,144,9,695,600,348,862,651,863,504,960,162
772,458,263,68,314,911,243,985,11,663,296,777,354,507,578,256,419,743,328,52,506,913,85,664,262,631,892,343,192,743,955,435,638
336,755,600,939,908,88,53,401,38,970,455,378,467,436,386,224,57,840,948,488,300,986,902,788,316,327,12,754,718,892,126,811,600
900,731,299,84,269,977,644,314,863,737,564,934,670,237,748,176,948,191,886,613,685,427,615,976,477,428,700,231,751,100,777,225,938
408,158,934,255,76,684,547,594,199,146,581,938,652,21,285,163,530,215,847,624,886,926,936,782,54,132,86,559,997,767,262,870,948
339,317,875,523,667,679,805,388,472,282,153,225,308,975,663,209,918,909,973,425,64,720,454,927,7,550,521,280,500,175,77,315,392
688,216,772,835,568,247,626,351,704,562,719,208,899,19,728,38,307,459,772,421,843,929,102,187,760,537,526,841,721,147,848,482,916
543,662,224,108,313,451,253,844,53,476,874,111,558,998,725,820,933,208,435,581,136,232,958,402,412,123,42,122,969,752,599,133,95
880,611,865,1,422,200,585,499,452,678,653,799,33,992,204,709,573,382,262,881,457,920,667,574,406,259,599,462,911,614,230,755,223
569,873,79,730,307,445,139,310,770,886,504,298,94,84,377,495,847,520,530,726,635,783,745,771,957,248,963,694,791,922,303,376,709
284,818,156,298,479,970,873,186,523,135,920,81,296,619,264,95,65,300,261,775,302,554,149,391,872,99,780,98,817,219,978,625,184
603,251,264,576,709,675,748,319,622,551,610,994,614,104,974,129,280,267,500,828,739,603,533,394,103,591,381,564,552,431,282,118,238
702,65,875,26,519,859,456,509,708,184,672,116,439,384,656,307,398,491,145,684,345,629,932,324,935,925,214,433,202,399,529,838,843
739,715,906,899,208,362,543,289,687,346,706,984,249,474,719,22,964,953,124,83,514,19,954,554,198,222,775,937,208,732,659,958,975
858,235,833,821,69,53,466,800,13,633,881,243,576,60,598,755,528,642,762,492,475,518,748,495,279,824,933,114,263,984,58,627,239
406,413,348,775,452,414,598,157,582,960,694,737,218,151,876,649,556,948,79,249,85,15,88,249,588,313,935,989,570,200,135,782,647
477,800,832,650,269,778,315,512,559,569,735,684,184,784,675,740,851,247,196,881,385,62,972,178,731,928,766,344,17,132,423,194,905
801,687,129,724,524,801,412,958,190,910,790,553,503,816,867,494,447,719,642,38,20,631,361,909,239,254,325,110,779,24,301,144,986
250,82,366,31,175,706,169,190,962,117,988,282,416,984,400,430,285,633,815,385,440,892,777,563,666,278,508,696,409,980,344,867,942
194,83,523,44,919,146,924,581,906,708,170,784,84,622,717,964,671,74,558,668,286,349,95,115,625,788,679,453,399,163,56,659,337
892,456,672,597,598,268,566,61,818,136,34,308,392,329,398,941,758,83,699,311,693,762,759,148,282,210,432,444,607,915,309,314,491
780,194,183,86,791,1,123,555,448,68,969,231,34,845,735,912,853,469,932,790,266,829,636,19,28,369,808,628,3,603,92,23,468
957,42,992,723,90,36,652,733,981,490,549,562,581,528,613,98,674,356,841,942,590,473,915,720,416,387,811,447,330,933,53,683,135
83,132,320,189,625,994,226,623,124,5,375,392,364,932,712,739,618,35,294,393,115,201,451,265,411,359,655,520,228,516,943,526,538
128,633,931,527,23,54,166,282,440,480,727,480,757,889,967,801,472,581,560,916,910,152,311,825,227,489,713,556,588,606,889,686,688
422,535,216,444,99,170,966,551,124,677,888,673,693,908,495,440,442,682,324,278,857,297,349,550,694,510,747,201,548,429,102,271,903
420,737,429,705,404,328,745,953,253,73,691,988,449,111,716,684,518,875,747,754,634,355,949,870,481,295,631,326,97,643,800,695,467
840,202,479,267,895,750,688,154,18,167,923,5,54,850,461,514,344,169,998,229,427,406,896,827,337,615,481,459,869,764,865,50,258
501,917,244,712,966,812,447,402,146,431,359,703,517,675,997,868,506,803,722,829,248,175,217,196,840,2,217,115,161,189,325,90,934
932,499,293,524,144,551,555,375,171,526,17,608,969,785,805,252,536,918,571,156,383,544,364,112,304,907,871,762,681,936,783,838,127
107,735,517,175,289,252,994,592,970,645,380,532,254,484,881,599,831,693,861,912,357,547,108,661,757,928,761,1000,86,138,297,167,448
28,473,740,66,172,781,308,626,784,183,216,424,135,916,530,767,509,266,275,313,375,115,153,508,76,532,187,963,955,648,772,729,207
576,369,239,249,687,995,922,206,222,456,696,484,888,279,39,884,750,455,373,829,118,36,302,697,285,106,734,966,239,367,741,349,185
439,492,112,78,148,656,194,192,419,993,175,665,803,117,560,529,53,507,254,404,404,783,104,803,605,233,945,211,262,65,484,874,586
403,382,326,258,416,491,679,222,129,202,743,220,441,496,177,436,651,797,375,156,897,443,355,639,680,561,927,635,233,508,476,326,96
261,114,362,34,417,771,692,270,346,809,924,788,426,458,278,271,501,898,243,319,482,809,858,228,906,415,490,191,234,940,78,584,933
766,950,446,956,210,289,650,284,964,380,798,148,407,751,403,331,962,451,314,891,227,695,528,836,646,275,28,186,140,991,981,764,148
998,754,207,839,356,257,807,82,599,404,815,141,875,429,457,803,544,252,83,923,522,94,36,74,338,52,769,824,338,637,406,985,356
29,526,282,101,733,236,552,855,251,900,169,393,970,992,157,16,428,94,797,500,12,857,505,761,382,501,997,208,400,680,46,447,433
177,787,705,928,418,977,445,514,190,204,846,123,400,662,196,840,910,878,130,822,405,288,941,385,832,862,1000,746,99,305,61,999,508
32,452,786,592,990,293,287,986,779,805,944,36,710,942,704,358,690,811,931,180,999,887,457,205,195,151,404,466,657,483,419,500,407
637,629,623,157,279,298,408,340,212,598,923,495,702,165,339,14,183,363,361,64,334,32,149,59,343,670,911,112,818,302,419,877,485
100,463,889,429,595,868,876,285,12,946,928,443,729,524,256,95,118,207,957,568,386,442,519,152,872,558,903,506,472,483,123,963,891
106,942,132,128,901,225,76,570,651,362,331,532,998,510,478,485,934,215,152,666,468,851,596,187,256,969,424,381,744,751,405,338,278
322,245,293,780,422,619,616,1,971,951,897,76,587,353,274,339,906,59,708,332,252,564,70,162,755,840,116,55,83,407,448,594,386
286,225,502,251,910,53,732,662,881,826,23,312,689,570,844,795,984,838,169,717,821,976,279,939,718,726,16,828,616,513,546,123,705
320,80,208,975,493,160,903,60,217,502,732,698,812,785,237,478,716,101,699,250,289,803,470,924,254,681,774,105,468,563,334,646,161
269,566,389,904,55,966,337,60,4,640,224,488,282,245,999,759,180,171,909,121,383,304,651,189,514,577,707,342,557,515,234,508,758
127,300,956,996,328,279,523,14,328,464,202,224,117,162,282,461,410,417,278,264,661,230,506,478,965,589,756,245,182,196,393,12,393
505,428,113,855,633,465,728,976,680,112,175,667,374,936,78,108,727,782,105,759,413,82,951,631,28,801,24,199,656,352,80,207,212
939,898,476,774,641,932,662,953,238,984,703,458,670,100,495,823,590,989,212,130,507,55,601,719,340,468,398,7,185,786,93,551,966
703,926,750,615,444,143,279,306,253,274,366,665,52,22,117,494,410,891,191,43,988,808,430,421,278,43,785,708,677,117,13,88,879
432,548,64,239,280,451,175,604,349,867,917,494,973,489,973,759,24,867,845,655,704,946,541,167,332,380,264,740,312,100,688,62,147
672,580,22,391,919,982,626,681,241,645,136,895,53,482,484,152,961,78,666,428,90,26,903,601,236,930,183,547,778,561,66,508,155
981,566,922,774,352,906,841,384,709,83,284,378,401,815,563,733,886,287,231,875,713,80,723,603,54,674,840,402,87,397,818,306,582
534,28,986,647,540,298,288,837,37,611,679,47,968,299,976,178,397,443,143,386,58,890,69,265,667,891,955,87,462,876,535,744,953
135,176,554,236,86,514,674,711,929,326,761,373,997,191,785,675,710,377,458,786,573,615,816,876,405,189,418,754,642,172,611,963,814
777,792,815,499,74,235,417,783,669,860,196,533,589,629,19,630,343,461,839,873,988,640,857,189,528,386,910,424,348,733,666,852,463
843,122,95,840,618,678,861,619,311,45,910,934,647,692,184,647,375,239,974,28,404,695,990,724,698,996,697,815,536,571,28,946,190
624,379,593,864,603,403,274,955,360,87,203,886,524,646,674,849,780,360,173,772,221,764,75,203,58,668,655,62,333,419,813,274,92
782,30,296,684,688,15,555,125,886,128,428,528,768,733,133,277,534,914,485,384,274,764,432,970,170,118,868,815,859,938,762,449,130
281,925,484,631,20,291,270,434,377,698,547,130,468,486,190,63,108,707,336,681,747,712,939,35,80,394,161,973,475,145,27,76,356
300,447,348,970,711,947,906,688,840,316,698,784,29,333,719,358,769,147,660,502,868,906,44,624,715,999,399,874,984,90,213,279,218
831,514,994,667,630,217,311,679,137,627,361,90,533,799,339,253,64,82,588,327,991,665,155,588,481,146,946,545,268,156,164,637,788
423,813,753,143,204,341,817,167,417,751,637,410,32,993,705,92,671,316,987,777,394,663,456,102,662,82,445,584,304,192,360,359,584
970,723,90,139,528,949,435,924,12,284,705,340,730,214,235,620,927,510,651,105,165,843,391,910,950,13,483,21,466,839,907,424,763
117,90,712,964,610,419,128,849,83,952,710,653,140,826,212,657,797,407,186,275,424,940,595,175,691,433,331,224,579,582,955,465,34
879,542,953,729,196,437,426,910,294,702,992,688,185,856,530,543,566,261,735,931,420,158,173,212,541,461,613,240,60,822,579,565,545
705,659,946,281,875,694,149,822,70,762,400,265,215,530,715,235,514,954,16,981,303,878,103,178,221,906,302,917,569,691,533,343,903
794,859,498,476,31,769,810,953,710,72,956,360,825,141,972,320,521,788,459,815,879,107,750,249,581,655,875,142,996,967,830,126,763
932,711,378,902,519,97,352,873,170,557,573,670,82,480,221,144,421,4,939,119,947,364,817,173,524,152,156,420,669,523,166,911,373
832,474,501,807,176,97,274,625,376,888,237,752,662,486,68,595,914,208,758,33,113,478,988,924,259,186,667,12,692,213,122,215,899
349,180,476,250,623,875,182,963,256,477,735,57,444,492,51,549,250,754,425,653,152,799,191,479,509,189,165,987,228,682,157,467,724
133,638,654,229,848,889,20,511,873,597,18,470,297,338,814,6,213,726,879,598,364,61,693,379,90,244,311,267,177,657,736,432,10
773,628,283,250,942,103,989,840,484,103,134,495,121,215,815,39,613,74,461,393,377,380,452,46,915,858,984,438,495,905,726,190,324
612,86,582,235,500,844,205,730,330,734,919,608,200,143,700,144,618,231,916,708,510,138,247,399,202,582,87,861,796,452,115,617,861
761,723,529,314,293,177,98,899,813,683,840,36,793,766,306,693,731,98,301,465,889,371,413,428,499,67,239,798,149,436,22,548,572
183,701,48,848,89,352,263,534,448,842,98,441,60,333,423,766,915,191,777,878,773,680,528,965,901,4,223,33,624,908,210,2,16
10,647,955,385,875,22,736,880,944,505,1,597,128,398,832,11,449,550,40,291,321,670,222,598,770,541,608,577,180,197,280,856,654
698,437,404,361,276,10,393,683,106,156,925,508,482,605,944,554,181,621,926,841,19,877,684,149,856,789,315,418,312,813,151,807,999
878,155,215,914,11,304,947,157,292,477,674,546,427,865,428,25,508,31,928,73,119,476,394,872,907,167,692,344,816,363,402,367,332
759,846,582,503,107,42,724,587,150,782,329,297,590,557,701,8,420,117,94,333,231,732,683,982,631,910,872,697,121,998,499,432,474
951,773,516,3,140,993,885,158,654,294,988,902,451,444,252,128,147,98,491,890,627,540,197,206,172,262,776,479,181,441,436,390,511
854,366,223,233,823,772,693,259,508,656,737,14,351,12,670,820,11,807,198,341,273,407,769,636,561,263,58,321,491,417,430,505,972
173,734,606,692,915,644,276,662,635,382,895,742,727,226,534,127,69,867,736,426,42,285,82,217,269,135,300,163,960,184,488,340,42
980,991,165,111,26,981,359,440,970,788,511,622,108,607,314,322,858,850,636,929,231,499,110,837,559,762,543,299,467,383,558,64,261
493,78,141,876,996,307,922,209,848,82,804,916,248,80,932,448,918,526,378,504,914,754,510,384,179,593,412,120,319,620,91,796,466
567,671,140,369,704,341,680,484,967,305,143,627,85,759,443,584,708,442,302,702,247,659,365,271,210,530,344,347,482,181,94,603,244
831,838,782,617,953,657,204,579,689,947,277,25,957,376,119,108,575,251,971,258,318,672,905,577,898,823,703,594,990,965,297,350,952
257,229,234,421,88,999,905,328,778,974,759,484,166,544,658,309,154,911,861,462,510,336,809,103,21,730,340,515,754,486,507,947,301
453,526,2,315,428,670,71,1000,177,995,876,670,888,45,264,723,104,488,681,638,214,808,659,708,367,904,772,498,505,18,835,441,384
508,106,12,380,75,809,117,936,519,215,810,328,437,332,590,209,841,879,253,48,862,462,31,937,227,443,597,130,616,598,217,624,62
160,667,889,112,573,547,557,857,181,942,847,134,876,437,10,905,681,920,575,848,144,516,942,580,706,315,424,601,73,953,256,116,158
153,395,163,627,280,441,461,286,824,200,983,73,31,507,284,577,625,951,127,970,161,895,339,997,469,380,312,417,588,140,365,783,748
984,482,549,658,837,893,683,260,978,945,482,41,413,71,125,654,765,226,245,53,908,502,389,583,291,597,919,237,275,846,147,43,399
357,683,287,747,281,599,472,719,680,329,32,438,456,171,557,951,817,508,139,335,728,241,968,609,963,861,939,711,801,537,136,916,754
945,233,547,441,758,691,119,132,753,819,955,96,97,13,793,565,302,640,89,713,488,698,325,506,808,180,260,56,635,189,600,979,247
641,693,796,340,438,92,648,444,371,97,101,102,724,649,43,323,830,87,565,461,774,300,903,867,381,596,364,106,375,762,379,592,418
458,402,391,650,614,56,927,172,502,167,138,865,322,195,72,746,712,454,878,800,434,60,990,470,380,493,583,847,109,987,848,58,918
100,29,835,755,111,298,37,770,994,867,311,228,387,426,521,421,742,679,127,402,206,577,663,777,612,414,877,492,471,304,789,361,425
890,323,657,286,786,60,209,949,687,28,146,992,293,476,99,239,271,751,335,186,294,434,365,526,971,642,456,443,177,883,948,176,56
789,395,418,726,65,599,894,245,574,813,971,713,119,71,319,453,300,374,111,630,590,245,122,837,679,946,228,918,568,399,33,664,747
665,322,70,959,213,913,568,970,315,270,561,780,627,776,310,599,776,269,305,436,192,854,277,155,23,218,805,905,290,466,605,248,622
304,537,438,88,684,979,944,941,211,492,473,58,597,273,646,917,133,893,767,392,1,323,428,151,539,398,42,819,639,380,675,48,535
705,807,457,745,396,8,446,13,316,766,456,229,329,384,805,264,19,63,904,827,208,312,23,672,73,208,394,644,345,819,426,843,438
510,234,229,138,753,560,450,572,77,776,644,280,735,819,537,606,545,946,619,211,898,103,363,249,86,123,999,667,857,733,370,507,719
90,772,398,831,484,135,645,878,527,501,30,358,489,927,154,431,243,54,242,740,358,717,516,315,395,858,626,492,356,126,190,995,309
595,997,211,76,398,669,978,777,873,365,448,717,403,801,835,692,65,398,8,124,261,835,142,315,881,435,495,32,23,362,268,93,191
266,278,497,93,679,234,657,711,7,662,665,903,119,871,638,141,359,49,189,397,174,498,698,874,824,938,983,336,213,568,314,307,759
786,445,758,268,709,233,469,245,505,545,114,610,986,184,756,186,192,401,280,906,278,374,439,606,708,186,30,161,544,126,911,770,44
508,585,626,782,128,278,628,451,271,806,944,99,930,916,994,5,394,34,545,472,700,800,758,285,886,831,923,50,55,390,539,513,161
59,209,467,629,118,602,15,726,660,221,45,423,877,857,787,411,133,90,816,19,324,115,492,66,590,539,676,825,337,313,380,537,534
479,797,434,618,158,237,87,698,474,148,388,297,582,600,619,970,559,506,331,399,464,884,951,5,119,941,859,140,344,500,371,969,864
913,907,772,576,136,5,760,437,940,181,942,454,519,746,77,915,79,271,324,457,126,501,717,39,765,325,816,749,793,386,570,662,909
216,734,782,920,644,197,753,388,228,372,410,609,749,192,343,761,353,66,254,606,359,69,44,889,1000,7,259,814,15,145,54,275,131
801,573,497,450,904,990,902,468,580,219,914,352,994,988,876,622,419,865,751,674,454,657,634,993,190,760,244,978,301,131,671,289,403
206,367,276,385,813,311,49,923,863,358,577,723,973,587,350,137,940,905,549,287,624,276,10,587,765,778,369,600,802,699,849,767,65
558,598,839,283,955,258,912,127,521,252,989,513,126,352,615,326,322,218,297,418,438,653,387,355,563,46,289,236,102,820,730,599,342
175,828,778,478,572,933,646,968,157,535,190,542,771,140,188,13,993,260,439,71,645,463,911,404,947,331,475,467,828,726,235,118,654
581,247,232,845,287,887,291,77,324,595,377,597,187,134,52,200,212,439,317,509,303,917,830,564,308,990,772,300,838,251,649,191,314
703,177,325,249,427,421,741,867,400,24,562,489,837,182,837,402,517,401,90,346,935,645,491,947,246,333,603,111,836,562,513,222,742
566,88,712,498,22,206,89,160,500,931,787,558,417,138,358,56,219,591,265,912,224,386,32,231,558,832,707,140,243,478,331,444,834
138,214,909,59,407,10,435,351,261,968,81,654,348,462,437,338,273,675,550,678,29,187,186,401,677,185,856,888,142,642,556,357,111
266,289,99,307,195,828,492,486,967,415,480,532,599,369,613,954,713,184,430,840,300,629,77,893,54,50,310,562,367,612,78,297,854
722,173,608,646,597,336,402,527,73,963,483,400,498,417,99,134,217,551,393,788,691,170,134,669,360,319,354,434,274,746,431,862,107
171,138,406,494,578,533,893,105,782,598,436,716,356,229,579,622,520,95,161,553,133,593,812,92,798,494,190,932,798,784,551,988,853
152,34,709,817,236,250,425,813,42,575,718,848,233,460,476,225,753,267,954,579,326,78,350,194,251,44,120,729,592,403,309,649,812
745,13,554,64,544,567,922,851,943,424,654,767,327,464,503,355,807,983,238,983,783,711,175,536,309,248,590,279,645,286,716,930,22
441,886,867,939,556,654,955,380,685,773,680,106,601,561,186,869,992,566,310,419,690,942,199,991,224,7,974,993,421,222,607,93,743
578,650,664,594,47,775,762,599,465,914,267,655,847,89,952,751,551,25,838,311,292,326,936,802,567,909,644,71,640,44,176,782,977
697,884,269,881,117,199,277,272,687,55,486,393,932,782,300,59,930,202,360,940,800,691,390,359,426,475,461,525,843,475,9,382,291
744,588,575,425,203,988,416,747,290,724,579,93,642,378,971,864,147,520,909,802,887,414,867,974,476,62,288,659,735,352,581,576,797
726,493,553,488,560,403,271,65,100,911,450,57,58,659,633,957,582,503,782,261,298,630,12,484,647,428,107,410,296,534,733,849,781
446,60,815,852,9,922,254,934,226,171,335,732,120,810,518,13,460,345,493,69,529,260,816,608,356,819,977,726,184,780,779,18,660
429,564,983,376,166,554,88,61,935,110,978,725,103,996,893,427,674,375,235,187,417,267,214,587,281,632,764,321,185,80,11,554,963
891,362,467,751,719,882,884,746,947,394,356,281,119,334,764,765,22,325,920,524,562,136,75,751,279,722,855,741,53,222,772,295,97
538,510,449,370,895,621,385,655,117,275,816,830,925,142,189,907,163,539,82,923,755,601,23,170,140,715,891,684,332,492,87,513,63
190,207,509,729,202,23,556,385,530,213,556,833,574,515,818,110,425,241,370,673,632,592,701,896,105,817,339,87,266,454,403,991,895
920,40,916,203,490,236,498,363,244,808,268,343,759,405,428,614,994,185,150,120,261,602,157,986,630,184,320,689,963,717,48,966,104
5,752,561,387,859,583,985,669,640,707,478,510,197,447,293,477,178,379,808,336,83,109,541,192,74,583,547,456,738,281,703,238,673
747,888,276,562,14,422,556,306,28,67,2,134,358,548,99,636,472,91,856,992,27,466,287,412,989,86,560,835,834,248,941,386,117
941,257,206,681,852,381,13,407,846,775,182,474,531,813,857,509,866,214,588,744,116,288,213,73,369,304,652,884,663,868,735,855,546
112,119,157,950,916,97,900,953,744,948,412,356,50,251,29,743,341,422,424,887,801,102,407,924,440,339,289,145,839,911,861,875,50
367,956,433,184,413,634,326,80,755,168,806,699,598,765,544,677,340,619,82,254,40,978,581,307,152,238,623,267,828,822,537,190,617
827,142,888,743,866,742,567,98,232,98,901,96,165,82,186,302,677,749,17,486,975,692,266,556,579,625,413,776,7,931,457,631,952
294,372,172,26,670,421,677,102,731,1,947,316,458,638,724,124,204,112,382,735,802,403,69,160,225,28,273,435,953,105,673,282,765
916,236,643,773,635,546,184,672,214,887,864,582,519,518,995,860,728,357,300,553,435,525,737,686,951,845,651,97,629,814,96,345,404
433,965,653,819,601,941,618,109,856,564,992,554,437,390,529,506,732,828,613,705,688,206,862,886,104,887,305,99,224,563,105,891,853
430,741,925,458,337,111,255,253,277,352,353,88,531,924,846,608,348,837,975,572,500,366,112,452,839,863,481,346,438,199,329,119,46
580,596,780,428,160,223,516,260,694,845,323,286,914,431,800,378,32,243,89,508,696,655,580,983,66,977,612,288,571,193,237,775,739
580,553,34,566,489,814,550,22,34,797,962,256,731,182,508,855,212,174,188,107,351,776,454,241,50,955,165,325,98,498,16,185,268
242,413,335,652,102,550,614,251,677,645,658,105,704,269,448,550,606,391,987,520,663,653,362,302,238,678,389,94,390,528,992,548,173
550,584,437,717,849,179,188,998,996,462,62,129,568,420,17,380,900,670,715,425,855,379,750,249,290,110,256,349,860,986,500,894,334
733,831,726,736,751,104,666,432,94,954,212,301,515,298,174,799,709,209,994,722,480,986,844,996,336,258,361,353,132,561,978,783,353
299,236,629,589,551,522,896,321,206,904,634,429,726,422,801,167,166,98,395,168,507,509,527,71,635,621,144,986,740,531,860,703,758
364,988,163,398,442,46,681,572,475,355,228,638,814,250,4,94,342,583,360,750,752,414,107,526,91,88,189,311,38,789,163,178,894
994,56,766,749,652,995,167,984,931,236,95,292,280,856,466,751,568,654,97,262,65,559,763,392,207,97,806,61,334,952,419,726,298
977,204,564,623,165,996,927,391,671,62,473,390,783,28,901,873,261,414,169,671,304,344,182,886,436,460,411,278,724,742,298,488,157
482,411,453,713,740,870,172,184,905,52,131,3,276,937,329,401,218,604,134,600,606,411,229,904,571,503,161,866,638,138,380,128,693
633,105,828,292,732,749,785,202,577,992,131,423,184,76,333,669,186,873,72,885,991,428,932,151,211,438,634,686,987,469,708,943,442
252,660,465,522,284,20,478,331,904,537,715,743,356,775,613,603,404,507,433,992,234,112,441,98,575,708,228,715,132,592,16,590,318
885,345,180,310,17,169,216,135,277,402,434,549,481,143,342,320,973,939,79,910,522,261,346,707,196,245,163,500,491,588,947,735,497
2,349,757,598,181,603,77,380,696,355,732,435,790,578,689,402,61,130,651,784,274,355,357,717,294,62,322,579,630,167,808,469,408
875,795,859,79,823,80,333,253,516,622,130,744,185,816,549,963,367,67,784,420,913,117,645,325,936,728,263,402,786,381,595,580,395
87,351,974,597,708,914,401,370,738,738,99,646,651,803,407,190,330,403,131,705,552,135,857,227,298,662,970,791,161,147,480,985,930
113,1000,555,338,383,678,569,609,11,100,964,352,584,227,698,16,677,659,78,567,942,794,860,366,174,385,91,418,506,523,280,712,777
823,609,608,732,226,245,344,862,865,200,206,431,728,494,940,963,675,51,912,10,330,263,620,590,755,166,858,242,521,285,373,61,146
962,431,791,707,913,495,34,354,294,889,787,466,38,928,508,823,776,777,154,527,587,942,803,833,119,259,774,968,977,357,420,698,429
234,43,811,672,181,321,828,154,792,426,910,506,739,670,720,336,663,10,296,189,595,992,341,607,106,887,560,342,402,32,392,26,320
962,690,482,941,705,969,483,463,938,675,253,30,537,50,817,193,375,546,10,700,412,630,184,75,289,333,98,416,630,670,369,571,319
78,528,429,746,828,759,30,320,896,182,583,652,431,586,42,417,26,596,613,755,580,867,151,84,289,5,932,663,36,678,536,74,187
58,592,357,222,734,941,340,561,363,502,546,143,755,36,720,492,470,170,549,663,550,383,982,17,285,871,630,448,698,667,775,128,486
138,601,87,996,894,771,358,833,682,247,612,68,979,935,232,635,927,177,182,729,27,419,783,88,555,668,672,274,826,418,64,459,520
344,994,57,307,937,971,264,260,487,351,925,602,800,60,986,258,140,193,41,195,814,61,61,35,436,17,665,27,333,128,362,404,585
935,518,94,863,882,399,468,548,871,146,73,651,816,90,678,507,47,135,126,483,778,178,159,681,947,922,620,186,89,45,874,397,636
